id,name,length,width,weight,price,unit,available,image
KL-1,КЛ-1,100,41,20,3570,1 шт,✅,images/kl1/kl1-mini.png
KL-1.1,КЛ-1.1,110,41,22,3910,1 шт,✅,images/kl1/kl1-mini.png
KL-1.2,КЛ-1.2,120,41,24,4290,1 шт,✅,images/kl1/kl1-mini.png
KL-1.3,КЛ-1.3,130,41,26,4625,1 шт,✅,images/kl1/kl1-mini.png
KL-1.4,КЛ-1.4,140,41,28,4990,1 шт,✅,images/kl1/kl1-mini.png
KL-1.5,КЛ-1.5,150,41,30,5330,1 шт,✅,images/kl1/kl1-mini.png
KL-1.6,КЛ-1.6,160,41,32,5695,1 шт,✅,images/kl1/kl1-mini.png
KL-1.7,КЛ-1.7,170,41,34,6050,1 шт,✅,images/kl1/kl1-mini.png
KL-1.8,КЛ-1.8,180,41,36,6410,1 шт,✅,images/kl1/kl1-mini.png
KL-1.9,КЛ-1.9,190,41,38,6735,1 шт,✅,images/kl1/kl1-mini.png
KL-2,КЛ-2,200,41,40,7105,1 шт,✅,images/kl1/kl1-mini.png
KL-2.1,КЛ-2.1,210,41,42,7455,1 шт,✅,images/kl1/kl1-mini.png
KL-2.2,КЛ-2.2,220,41,44,7815,1 шт,✅,images/kl1/kl1-mini.png
KL-2.3,КЛ-2.3,230,41,46,8160,1 шт,✅,images/kl1/kl1-mini.png
KL-2.4,КЛ-2.4,240,41,48,8505,1 шт,✅,images/kl1/kl1-mini.png
KL-2.5,КЛ-2.5,250,41,50,8870,1 шт,✅,images/kl1/kl1-mini.png
KL-2.6,КЛ-2.6,260,41,52,9225,1 шт,✅,images/kl1/kl1-mini.png
KL-2.7,КЛ-2.7,270,41,54,9570,1 шт,✅,images/kl1/kl1-mini.png
KL-2.8,КЛ-2.8,280,41,56,9920,1 шт,✅,images/kl1/kl1-mini.png
KL-2.9,КЛ-2.9,290,41,58,10265,1 шт,✅,images/kl1/kl1-mini.png
KL-3,КЛ-3,300,41,60,10630,1 шт,✅,images/kl1/kl1-mini.png
KL-3.1,КЛ-3.1,310,41,62,10985,1 шт,✅,images/kl1/kl1-mini.png
KL-3.2,КЛ-3.2,320,41,64,11330,1 шт,✅,images/kl1/kl1-mini.png
KL-3.3,КЛ-3.3,330,41,66,11695,1 шт,✅,images/kl1/kl1-mini.png
KL-3.4,КЛ-3.4,340,41,68,12050,1 шт,✅,images/kl1/kl1-mini.png
KL-3.5,КЛ-3.5,350,41,70,12400,1 шт,✅,images/kl1/kl1-mini.png
KL-3.6,КЛ-3.6,360,41,72,12735,1 шт,✅,images/kl1/kl1-mini.png
KL-3.7,КЛ-3.7,370,41,74,13095,1 шт,✅,images/kl1/kl1-mini.png
KL-3.8,КЛ-3.8,380,41,76,13430,1 шт,✅,images/kl1/kl1-mini.png
KL-3.9,КЛ-3.9,390,41,78,13815,1 шт,✅,images/kl1/kl1-mini.png
KL-4,КЛ-4,400,41,80,14175,1 шт,✅,images/kl1/kl1-mini.png
KL-4.1,КЛ-4.1,410,41,82,14495,1 шт,✅,images/kl1/kl1-mini.png
KL-4.2,КЛ-4.2,420,41,84,14855,1 шт,✅,images/kl1/kl1-mini.png
KL-4.3,КЛ-4.3,430,41,86,15230,1 шт,✅,images/kl1/kl1-mini.png
KL-4.4,КЛ-4.4,440,41,88,15570,1 шт,✅,images/kl1/kl1-mini.png
KL-4.5,КЛ-4.5,450,41,90,15930,1 шт,✅,images/kl1/kl1-mini.png
