id,name,length,width,weight,price,unit,available,image
C-1-00,Стремянка для колодцев ТПР 902-09-22.84 60 см (С-1-00),60,50,6.5,1170,1 шт,✅,images/ss2/ss2-mini.png
C-1-01,Стремянка для колодцев ТПР 902-09-22.84 90 см (С-1-01),90,50,9.8,1765,1 шт,✅,images/ss2/ss2-mini.png
C-1-02,Стремянка для колодцев ТПР 902-09-22.84 120 см (С-1-02),120,50,13.0,2340,1 шт,✅,images/ss2/ss2-mini.png
C-1-03,Стремянка для колодцев ТПР 902-09-22.84 150 см (С-1-03),150,50,16.3,2935,1 шт,✅,images/ss2/ss2-mini.png
C-1-04,Стремянка для колодцев ТПР 902-09-22.84 180 см (С-1-04),180,50,19.6,3530,1 шт,✅,images/ss2/ss2-mini.png
C-1-05,Стремянка для колодцев ТПР 902-09-22.84 210 см (С-1-05),210,50,22.8,4105,1 шт,✅,images/ss2/ss2-mini.png
C-1-06,Стремянка для колодцев ТПР 902-09-22.84 240 см (С-1-06),240,50,26.1,4700,1 шт,✅,images/ss2/ss2-mini.png
C-1-07,Стремянка для колодцев ТПР 902-09-22.84 270 см (С-1-07),270,50,29.3,5275,1 шт,✅,images/ss2/ss2-mini.png
C-1-08,Стремянка для колодцев ТПР 902-09-22.84 300 см (С-1-08),300,50,32.6,5870,1 шт,✅,images/ss2/ss2-mini.png
C-1-09,Стремянка для колодцев ТПР 902-09-22.84 330 см (С-1-09),330,50,35.9,6460,1 шт,✅,images/ss2/ss2-mini.png
C-1-10,Стремянка для колодцев ТПР 902-09-22.84 360 см (С-1-10),360,50,39.1,7040,1 шт,✅,images/ss2/ss2-mini.png
C-1-11,Стремянка для колодцев ТПР 902-09-22.84 390 см (С-1-11),390,50,42.4,7630,1 шт,✅,images/ss2/ss2-mini.png
C-1-12,Стремянка для колодцев ТПР 902-09-22.84 420 см (С-1-12),420,50,45.7,8225,1 шт,✅,images/ss2/ss2-mini.png
C-1-13,Стремянка для колодцев ТПР 902-09-22.84 450 см (С-1-13),450,50,48.9,8800,1 шт,✅,images/ss2/ss2-mini.png
C-1-14,Стремянка для колодцев ТПР 902-09-22.84 480 см (С-1-14),480,50,52.2,9395,1 шт,✅,images/ss2/ss2-mini.png
C-1-15,Стремянка для колодцев ТПР 902-09-22.84 510 см (С-1-15),510,50,55.4,9970,1 шт,✅,images/ss2/ss2-mini.png
C-1-16,Стремянка для колодцев ТПР 902-09-22.84 540 см (С-1-16),540,50,58.7,10565,1 шт,✅,images/ss2/ss2-mini.png
C-1-17,Стремянка для колодцев ТПР 902-09-22.84 570 см (С-1-17),570,50,62.0,11160,1 шт,✅,images/ss2/ss2-mini.png
C-1-18,Стремянка для колодцев ТПР 902-09-22.84 600 см (С-1-18),600,50,65.2,11735,1 шт,✅,images/ss2/ss2-mini.png
