id,name,length,width,weight,price,unit,available,image
SG-22,СГ-22,220,70,39.2,8625,1 шт,✅,images/ssg1/ssg1-mini.png
SG-28,СГ-28,280,70,50,11000,1 шт,✅,images/ssg1/ssg1-mini.png
SG-34,СГ-34,340,70,61,13420,1 шт,✅,images/ssg1/ssg1-mini.png
SG-40,СГ-40,400,70,71.8,15795,1 шт,✅,images/ssg1/ssg1-mini.png
SG-46,СГ-46,460,70,82.8,18215,1 шт,✅,images/ssg1/ssg1-mini.png
SG-52,СГ-52,520,70,94,20680,1 шт,✅,images/ssg1/ssg1-mini.png
SG-58,СГ-58,580,70,104.4,22970,1 шт,✅,images/ssg1/ssg1-mini.png
SG-64,СГ-64,640,70,115.4,25390,1 шт,✅,images/ssg1/ssg1-mini.png
SG-70,СГ-70,700,70,126.2,27765,1 шт,✅,images/ssg1/ssg1-mini.png
SG-82,СГ-82,820,70,148,32560,1 шт,✅,images/ssg1/ssg1-mini.png
