id,name,length,width,weight,price,unit,available,image
TS-63-1,Лестница тепловых сетей Л-16 (63 ТС-1),100,63,13.8,2620,1 шт,✅,images/tl/tl-mini.png
TS-63-1.1,Лестница тепловых сетей Л-16 (63 ТС-1.1),110,63,15.2,2890,1 шт,✅,images/tl/tl-mini.png
TS-63-1.2,Лестница тепловых сетей Л-16 (63 ТС-1.2),120,63,16.6,3155,1 шт,✅,images/tl/tl-mini.png
TS-63-1.3,Лестница тепловых сетей Л-16 (63 ТС-1.3),130,63,18.0,3420,1 шт,✅,images/tl/tl-mini.png
TS-63-1.4,Лестница тепловых сетей Л-16 (63 ТС-1.4),140,63,19.3,3665,1 шт,✅,images/tl/tl-mini.png
TS-63-1.5,Лестница тепловых сетей Л-16 (63 ТС-1.5),150,63,20.7,3935,1 шт,✅,images/tl/tl-mini.png
TS-63-1.6,Лестница тепловых сетей Л-16 (63 ТС-1.6),160,63,22.1,4200,1 шт,✅,images/tl/tl-mini.png
TS-63-1.7,Лестница тепловых сетей Л-16 (63 ТС-1.7),170,63,23.5,4465,1 шт,✅,images/tl/tl-mini.png
TS-63-1.8,Лестница тепловых сетей Л-16 (63 ТС-1.8),180,63,24.9,4730,1 шт,✅,images/tl/tl-mini.png
TS-63-1.9,Лестница тепловых сетей Л-16 (63 ТС-1.9),190,63,26.2,4980,1 шт,✅,images/tl/tl-mini.png
TS-63-2,Лестница тепловых сетей Л-16 (63 ТС-2),200,63,27.6,5245,1 шт,✅,images/tl/tl-mini.png
TS-63-2.1,Лестница тепловых сетей Л-16 (63 ТС-2.1),210,63,29.0,5510,1 шт,✅,images/tl/tl-mini.png
TS-63-2.2,Лестница тепловых сетей Л-16 (63 ТС-2.2),220,63,30.4,5775,1 шт,✅,images/tl/tl-mini.png
TS-63-2.3,Лестница тепловых сетей Л-16 (63 ТС-2.3),230,63,31.8,6040,1 шт,✅,images/tl/tl-mini.png
TS-63-2.4,Лестница тепловых сетей Л-16 (63 ТС-2.4),240,63,33.1,6290,1 шт,✅,images/tl/tl-mini.png
TS-63-2.5,Лестница тепловых сетей Л-16 (63 ТС-2.5),250,63,34.5,6555,1 шт,✅,images/tl/tl-mini.png
TS-63-2.6,Лестница тепловых сетей Л-16 (63 ТС-2.6),260,63,35.9,6820,1 шт,✅,images/tl/tl-mini.png
TS-63-2.7,Лестница тепловых сетей Л-16 (63 ТС-2.7),270,63,37.3,7085,1 шт,✅,images/tl/tl-mini.png
TS-63-2.8,Лестница тепловых сетей Л-16 (63 ТС-2.8),280,63,38.7,7355,1 шт,✅,images/tl/tl-mini.png
TS-63-2.9,Лестница тепловых сетей Л-16 (63 ТС-2.9),290,63,40.1,7620,1 шт,✅,images/tl/tl-mini.png
TS-63-3,Лестница тепловых сетей Л-16 (63 ТС-3),300,63,41.4,7865,1 шт,✅,images/tl/tl-mini.png
TS-63-3.1,Лестница тепловых сетей Л-16 (63 ТС-3.1),310,63,42.8,8130,1 шт,✅,images/tl/tl-mini.png
TS-63-3.2,Лестница тепловых сетей Л-16 (63 ТС-3.2),320,63,44.2,8400,1 шт,✅,images/tl/tl-mini.png
TS-63-3.3,Лестница тепловых сетей Л-16 (63 ТС-3.3),330,63,45.6,8665,1 шт,✅,images/tl/tl-mini.png
TS-63-3.4,Лестница тепловых сетей Л-16 (63 ТС-3.4),340,63,47.0,8930,1 шт,✅,images/tl/tl-mini.png
TS-63-3.5,Лестница тепловых сетей Л-16 (63 ТС-3.5),350,63,48.3,9175,1 шт,✅,images/tl/tl-mini.png
TS-63-3.6,Лестница тепловых сетей Л-16 (63 ТС-3.6),360,63,49.7,9445,1 шт,✅,images/tl/tl-mini.png
TS-63-3.7,Лестница тепловых сетей Л-16 (63 ТС-3.7),370,63,51.1,9710,1 шт,✅,images/tl/tl-mini.png
TS-63-3.8,Лестница тепловых сетей Л-16 (63 ТС-3.8),380,63,52.5,9975,1 шт,✅,images/tl/tl-mini.png
TS-63-3.9,Лестница тепловых сетей Л-16 (63 ТС-3.9),390,63,53.9,10240,1 шт,✅,images/tl/tl-mini.png
TS-63-4,Лестница тепловых сетей Л-16 (63 ТС-4),400,63,55.2,10490,1 шт,✅,images/tl/tl-mini.png
TS-63-4.1,Лестница тепловых сетей Л-16 (63 ТС-4.1),410,63,56.6,10755,1 шт,✅,images/tl/tl-mini.png
TS-63-4.2,Лестница тепловых сетей Л-16 (63 ТС-4.2),420,63,58.0,11020,1 шт,✅,images/tl/tl-mini.png
TS-63-4.3,Лестница тепловых сетей Л-16 (63 ТС-4.3),430,63,59.4,11285,1 шт,✅,images/tl/tl-mini.png
TS-63-4.4,Лестница тепловых сетей Л-16 (63 ТС-4.4),440,63,60.8,11550,1 шт,✅,images/tl/tl-mini.png
TS-63-4.5,Лестница тепловых сетей Л-16 (63 ТС-4.5),450,63,62.1,11800,1 шт,✅,images/tl/tl-mini.png
TS-63-4.6,Лестница тепловых сетей Л-16 (63 ТС-4.6),460,63,63.5,12065,1 шт,✅,images/tl/tl-mini.png
TS-63-4.7,Лестница тепловых сетей Л-16 (63 ТС-4.7),470,63,64.9,12330,1 шт,✅,images/tl/tl-mini.png
TS-63-4.8,Лестница тепловых сетей Л-16 (63 ТС-4.8),480,63,66.3,12600,1 шт,✅,images/tl/tl-mini.png
TS-63-4.9,Лестница тепловых сетей Л-16 (63 ТС-4.9),490,63,67.7,12865,1 шт,✅,images/tl/tl-mini.png
TS-63-5,Лестница тепловых сетей Л-16 (63 ТС-5),500,63,69.1,13130,1 шт,✅,images/tl/tl-mini.png
TS-63-5.1,Лестница тепловых сетей Л-16 (63 ТС-5.1),510,63,70.4,13375,1 шт,✅,images/tl/tl-mini.png
TS-63-5.2,Лестница тепловых сетей Л-16 (63 ТС-5.2),520,63,71.8,13640,1 шт,✅,images/tl/tl-mini.png
TS-63-5.3,Лестница тепловых сетей Л-16 (63 ТС-5.3),530,63,73.2,13910,1 шт,✅,images/tl/tl-mini.png
TS-63-5.4,Лестница тепловых сетей Л-16 (63 ТС-5.4),540,63,74.6,14175,1 шт,✅,images/tl/tl-mini.png
TS-63-5.5,Лестница тепловых сетей Л-16 (63 ТС-5.5),550,63,76.0,14440,1 шт,✅,images/tl/tl-mini.png
TS-63-5.6,Лестница тепловых сетей Л-16 (63 ТС-5.6),560,63,77.3,14685,1 шт,✅,images/tl/tl-mini.png
TS-63-5.7,Лестница тепловых сетей Л-16 (63 ТС-5.7),570,63,78.7,14955,1 шт,✅,images/tl/tl-mini.png
TS-63-5.8,Лестница тепловых сетей Л-16 (63 ТС-5.8),580,63,80.1,15220,1 шт,✅,images/tl/tl-mini.png
TS-63-5.9,Лестница тепловых сетей Л-16 (63 ТС-5.9),590,63,81.5,15485,1 шт,✅,images/tl/tl-mini.png
TS-63-6,Лестница тепловых сетей Л-16 (63 ТС-6),600,63,82.9,15750,1 шт,✅,images/tl/tl-mini.png
TS-63-6.1,Лестница тепловых сетей Л-16 (63 ТС-6.1),610,63,84.2,16000,1 шт,✅,images/tl/tl-mini.png
TS-63-6.2,Лестница тепловых сетей Л-16 (63 ТС-6.2),620,63,85.6,16265,1 шт,✅,images/tl/tl-mini.png
TS-63-6.3,Лестница тепловых сетей Л-16 (63 ТС-6.3),630,63,87.0,16530,1 шт,✅,images/tl/tl-mini.png
TS-63-6.4,Лестница тепловых сетей Л-16 (63 ТС-6.4),640,63,88.4,16795,1 шт,✅,images/tl/tl-mini.png
TS-63-6.5,Лестница тепловых сетей Л-16 (63 ТС-6.5),650,63,89.8,17060,1 шт,✅,images/tl/tl-mini.png
TS-63-6.6,Лестница тепловых сетей Л-16 (63 ТС-6.6),660,63,91.1,17310,1 шт,✅,images/tl/tl-mini.png
TS-63-6.7,Лестница тепловых сетей Л-16 (63 ТС-6.7),670,63,92.5,17575,1 шт,✅,images/tl/tl-mini.png
TS-63-6.8,Лестница тепловых сетей Л-16 (63 ТС-6.8),680,63,93.9,17840,1 шт,✅,images/tl/tl-mini.png
TS-63-6.9,Лестница тепловых сетей Л-16 (63 ТС-6.9),690,63,95.3,18105,1 шт,✅,images/tl/tl-mini.png
TS-63-7,Лестница тепловых сетей Л-16 (63 ТС-7),700,63,96.7,18375,1 шт,✅,images/tl/tl-mini.png
TS-63-7.1,Лестница тепловых сетей Л-16 (63 ТС-7.1),710,63,98.1,18640,1 шт,✅,images/tl/tl-mini.png
TS-63-7.2,Лестница тепловых сетей Л-16 (63 ТС-7.2),720,63,99.4,18885,1 шт,✅,images/tl/tl-mini.png
TS-63-7.3,Лестница тепловых сетей Л-16 (63 ТС-7.3),730,63,100.8,19150,1 шт,✅,images/tl/tl-mini.png
TS-63-7.4,Лестница тепловых сетей Л-16 (63 ТС-7.4),740,63,102.2,19420,1 шт,✅,images/tl/tl-mini.png
TS-63-7.5,Лестница тепловых сетей Л-16 (63 ТС-7.5),750,63,103.6,19685,1 шт,✅,images/tl/tl-mini.png
