id,name,length,width,weight,price,unit,available,image
TS-50-1,Лестница тепловых сетей Л-16 (50 ТС-1),100,50,10.9,2070,1 шт,✅,images/tl/tl-mini.png
TS-50-1.1,Лестница тепловых сетей Л-16 (50 ТС-1.1),110,50,12.0,2280,1 шт,✅,images/tl/tl-mini.png
TS-50-1.2,Лестница тепловых сетей Л-16 (50 ТС-1.2),120,50,13.0,2470,1 шт,✅,images/tl/tl-mini.png
TS-50-1.3,Лестница тепловых сетей Л-16 (50 ТС-1.3),130,50,14.1,2680,1 шт,✅,images/tl/tl-mini.png
TS-50-1.4,Лестница тепловых сетей Л-16 (50 ТС-1.4),140,50,15.2,2890,1 шт,✅,images/tl/tl-mini.png
TS-50-1.5,Лестница тепловых сетей Л-16 (50 ТС-1.5),150,50,16.3,3095,1 шт,✅,images/tl/tl-mini.png
TS-50-1.6,Лестница тепловых сетей Л-16 (50 ТС-1.6),160,50,17.4,3305,1 шт,✅,images/tl/tl-mini.png
TS-50-1.7,Лестница тепловых сетей Л-16 (50 ТС-1.7),170,50,18.5,3515,1 шт,✅,images/tl/tl-mini.png
TS-50-1.8,Лестница тепловых сетей Л-16 (50 ТС-1.8),180,50,19.6,3720,1 шт,✅,images/tl/tl-mini.png
TS-50-1.9,Лестница тепловых сетей Л-16 (50 ТС-1.9),190,50,20.7,3930,1 шт,✅,images/tl/tl-mini.png
TS-50-2,Лестница тепловых сетей Л-16 (50 ТС-2),200,50,21.7,4125,1 шт,✅,images/tl/tl-mini.png
TS-50-2.1,Лестница тепловых сетей Л-16 (50 ТС-2.1),210,50,22.8,4330,1 шт,✅,images/tl/tl-mini.png
TS-50-2.2,Лестница тепловых сетей Л-16 (50 ТС-2.2),220,50,23.9,4540,1 шт,✅,images/tl/tl-mini.png
TS-50-2.3,Лестница тепловых сетей Л-16 (50 ТС-2.3),230,50,25.0,4750,1 шт,✅,images/tl/tl-mini.png
TS-50-2.4,Лестница тепловых сетей Л-16 (50 ТС-2.4),240,50,26.1,4960,1 шт,✅,images/tl/tl-mini.png
TS-50-2.5,Лестница тепловых сетей Л-16 (50 ТС-2.5),250,50,27.2,5170,1 шт,✅,images/tl/tl-mini.png
TS-50-2.6,Лестница тепловых сетей Л-16 (50 ТС-2.6),260,50,28.3,5375,1 шт,✅,images/tl/tl-mini.png
TS-50-2.7,Лестница тепловых сетей Л-16 (50 ТС-2.7),270,50,29.3,5565,1 шт,✅,images/tl/tl-mini.png
TS-50-2.8,Лестница тепловых сетей Л-16 (50 ТС-2.8),280,50,30.4,5775,1 шт,✅,images/tl/tl-mini.png
TS-50-2.9,Лестница тепловых сетей Л-16 (50 ТС-2.9),290,50,31.5,5985,1 шт,✅,images/tl/tl-mini.png
TS-50-3,Лестница тепловых сетей Л-16 (50 ТС-3),300,50,32.6,6195,1 шт,✅,images/tl/tl-mini.png
TS-50-3.1,Лестница тепловых сетей Л-16 (50 ТС-3.1),310,50,33.7,6405,1 шт,✅,images/tl/tl-mini.png
TS-50-3.2,Лестница тепловых сетей Л-16 (50 ТС-3.2),320,50,34.8,6610,1 шт,✅,images/tl/tl-mini.png
TS-50-3.3,Лестница тепловых сетей Л-16 (50 ТС-3.3),330,50,35.9,6820,1 шт,✅,images/tl/tl-mini.png
TS-50-3.4,Лестница тепловых сетей Л-16 (50 ТС-3.4),340,50,37.0,7030,1 шт,✅,images/tl/tl-mini.png
TS-50-3.5,Лестница тепловых сетей Л-16 (50 ТС-3.5),350,50,38.0,7220,1 шт,✅,images/tl/tl-mini.png
TS-50-3.6,Лестница тепловых сетей Л-16 (50 ТС-3.6),360,50,39.1,7430,1 шт,✅,images/tl/tl-mini.png
TS-50-3.7,Лестница тепловых сетей Л-16 (50 ТС-3.7),370,50,40.2,7640,1 шт,✅,images/tl/tl-mini.png
TS-50-3.8,Лестница тепловых сетей Л-16 (50 ТС-3.8),380,50,41.3,7845,1 шт,✅,images/tl/tl-mini.png
TS-50-3.9,Лестница тепловых сетей Л-16 (50 ТС-3.9),390,50,42.4,8055,1 шт,✅,images/tl/tl-mini.png
TS-50-4,Лестница тепловых сетей Л-16 (50 ТС-4),400,50,43.5,8265,1 шт,✅,images/tl/tl-mini.png
TS-50-4.1,Лестница тепловых сетей Л-16 (50 ТС-4.1),410,50,44.6,8475,1 шт,✅,images/tl/tl-mini.png
TS-50-4.2,Лестница тепловых сетей Л-16 (50 ТС-4.2),420,50,45.7,8685,1 шт,✅,images/tl/tl-mini.png
TS-50-4.3,Лестница тепловых сетей Л-16 (50 ТС-4.3),430,50,46.7,8875,1 шт,✅,images/tl/tl-mini.png
TS-50-4.4,Лестница тепловых сетей Л-16 (50 ТС-4.4),440,50,47.8,9080,1 шт,✅,images/tl/tl-mini.png
TS-50-4.5,Лестница тепловых сетей Л-16 (50 ТС-4.5),450,50,48.9,9290,1 шт,✅,images/tl/tl-mini.png
TS-50-4.6,Лестница тепловых сетей Л-16 (50 ТС-4.6),460,50,50.0,9500,1 шт,✅,images/tl/tl-mini.png
TS-50-4.7,Лестница тепловых сетей Л-16 (50 ТС-4.7),470,50,51.1,9710,1 шт,✅,images/tl/tl-mini.png
TS-50-4.8,Лестница тепловых сетей Л-16 (50 ТС-4.8),480,50,52.2,9920,1 шт,✅,images/tl/tl-mini.png
TS-50-4.9,Лестница тепловых сетей Л-16 (50 ТС-4.9),490,50,53.3,10125,1 шт,✅,images/tl/tl-mini.png
TS-50-5,Лестница тепловых сетей Л-16 (50 ТС-5),500,50,54.4,10335,1 шт,✅,images/tl/tl-mini.png
TS-50-5.1,Лестница тепловых сетей Л-16 (50 ТС-5.1),510,50,55.4,10525,1 шт,✅,images/tl/tl-mini.png
TS-50-5.2,Лестница тепловых сетей Л-16 (50 ТС-5.2),520,50,56.5,10735,1 шт,✅,images/tl/tl-mini.png
TS-50-5.3,Лестница тепловых сетей Л-16 (50 ТС-5.3),530,50,57.6,10945,1 шт,✅,images/tl/tl-mini.png
