id,name,length,width,weight,price,unit,available,image
С1-00,Стремянка для колодцев ТМП 902-09-46.88 (С1-00),60,50,6.5,1170,1 шт,✅,images/tmp-902/tmp-mini.png
С1-01,Стремянка для колодцев ТМП 902-09-46.88 (С1-01),90,50,9.8,1765,1 шт,✅,images/tmp-902/tmp-mini.png
С1-02,Стремянка для колодцев ТМП 902-09-46.88 (С1-02),120,50,13.0,2340,1 шт,✅,images/tmp-902/tmp-mini.png
С1-03,Стремянка для колодцев ТМП 902-09-46.88 (С1-03),150,50,16.3,2934,1 шт,✅,images/tmp-902/tmp-mini.png
С1-04,Стремянка для колодцев ТМП 902-09-46.88 (С1-04),180,50,19.6,3528,1 шт,✅,images/tmp-902/tmp-mini.png
С1-05,Стремянка для колодцев ТМП 902-09-46.88 (С1-05),210,50,22.8,4104,1 шт,✅,images/tmp-902/tmp-mini.png
С1-06,Стремянка для колодцев ТМП 902-09-46.88 (С1-06),240,50,26.1,4698,1 шт,✅,images/tmp-902/tmp-mini.png
С1-07,Стремянка для колодцев ТМП 902-09-46.88 (С1-07),270,50,29.3,5274,1 шт,✅,images/tmp-902/tmp-mini.png
С1-08,Стремянка для колодцев ТМП 902-09-46.88 (С1-08),300,50,32.6,5870,1 шт,✅,images/tmp-902/tmp-mini.png
С1-09,Стремянка для колодцев ТМП 902-09-46.88 (С1-09),330,50,35.9,6460,1 шт,✅,images/tmp-902/tmp-mini.png
С1-10,Стремянка для колодцев ТМП 902-09-46.88 (С1-10),360,50,39.1,7040,1 шт,✅,images/tmp-902/tmp-mini.png
С1-11,Стремянка для колодцев ТМП 902-09-46.88 (С1-11),390,50,42.4,7630,1 шт,✅,images/tmp-902/tmp-mini.png
С1-12,Стремянка для колодцев ТМП 902-09-46.88 (С1-12),420,50,45.7,8225,1 шт,✅,images/tmp-902/tmp-mini.png
