id,name,length,width,weight,price,unit,available,image
VL-1,ВЛ-1,100,42.4,14,1540,1 шт,✅,images/vdl/vdl-mini.png
VL-1.1,ВЛ-1.1,110,42.4,15,1690,1 шт,✅,images/vdl/vdl-mini.png
VL-1.2,ВЛ-1.2,120,42.4,16,1830,1 шт,✅,images/vdl/vdl-mini.png
VL-1.3,ВЛ-1.3,130,42.4,17,1985,1 шт,✅,images/vdl/vdl-mini.png
VL-1.4,ВЛ-1.4,140,42.4,18,2155,1 шт,✅,images/vdl/vdl-mini.png
VL-1.5,ВЛ-1.5,150,42.4,19,2305,1 шт,✅,images/vdl/vdl-mini.png
VL-1.6,ВЛ-1.6,160,42.4,20,2455,1 шт,✅,images/vdl/vdl-mini.png
VL-1.7,ВЛ-1.7,170,42.4,21,2610,1 шт,✅,images/vdl/vdl-mini.png
VL-1.8,ВЛ-1.8,180,42.4,22,2765,1 шт,✅,images/vdl/vdl-mini.png
VL-1.9,ВЛ-1.9,190,42.4,23,2915,1 шт,✅,images/vdl/vdl-mini.png
VL-2,ВЛ-2,200,42.4,27,3070,1 шт,✅,images/vdl/vdl-mini.png
VL-2.1,ВЛ-2.1,210,42.4,28,3235,1 шт,✅,images/vdl/vdl-mini.png
VL-2.2,ВЛ-2.2,220,42.4,29,3375,1 шт,✅,images/vdl/vdl-mini.png
VL-2.3,ВЛ-2.3,230,42.4,30,3535,1 шт,✅,images/vdl/vdl-mini.png
VL-2.4,ВЛ-2.4,240,42.4,31,3675,1 шт,✅,images/vdl/vdl-mini.png
VL-2.5,ВЛ-2.5,250,42.4,34,3830,1 шт,✅,images/vdl/vdl-mini.png
VL-2.6,ВЛ-2.6,260,42.4,35,3995,1 шт,✅,images/vdl/vdl-mini.png
VL-2.7,ВЛ-2.7,270,42.4,36,4135,1 шт,✅,images/vdl/vdl-mini.png
VL-2.8,ВЛ-2.8,280,42.4,37,4290,1 шт,✅,images/vdl/vdl-mini.png
VL-2.9,ВЛ-2.9,290,42.4,38,4430,1 шт,✅,images/vdl/vdl-mini.png
VL-3,ВЛ-3,300,42.4,39,4590,1 шт,✅,images/vdl/vdl-mini.png
VL-3.1,ВЛ-3.1,310,42.4,40,4730,1 шт,✅,images/vdl/vdl-mini.png
VL-3.2,ВЛ-3.2,320,42.4,41,4900,1 шт,✅,images/vdl/vdl-mini.png
VL-3.3,ВЛ-3.3,330,42.4,42,5045,1 шт,✅,images/vdl/vdl-mini.png
VL-3.4,ВЛ-3.4,340,42.4,43,5205,1 шт,✅,images/vdl/vdl-mini.png
VL-3.5,ВЛ-3.5,350,42.4,45,5345,1 шт,✅,images/vdl/vdl-mini.png
VL-3.6,ВЛ-3.6,360,42.4,46,5490,1 шт,✅,images/vdl/vdl-mini.png
VL-3.7,ВЛ-3.7,370,42.4,48,5650,1 шт,✅,images/vdl/vdl-mini.png
VL-3.8,ВЛ-3.8,380,42.4,49,5805,1 шт,✅,images/vdl/vdl-mini.png
VL-3.9,ВЛ-3.9,390,42.4,50,5955,1 шт,✅,images/vdl/vdl-mini.png
VL-4,ВЛ-4,400,42.4,51,6110,1 шт,✅,images/vdl/vdl-mini.png
VL-4.1,ВЛ-4.1,410,42.4,52,6255,1 шт,✅,images/vdl/vdl-mini.png
VL-4.2,ВЛ-4.2,420,42.4,53,6415,1 шт,✅,images/vdl/vdl-mini.png
VL-4.3,ВЛ-4.3,430,42.4,54,6570,1 шт,✅,images/vdl/vdl-mini.png
VL-4.4,ВЛ-4.4,440,42.4,55,6710,1 шт,✅,images/vdl/vdl-mini.png
VL-4.5,ВЛ-4.5,450,42.4,57,6875,1 шт,✅,images/vdl/vdl-mini.png
VL-4.6,ВЛ-4.6,460,42.4,58,7030,1 шт,✅,images/vdl/vdl-mini.png
VL-4.7,ВЛ-4.7,470,42.4,59,7170,1 шт,✅,images/vdl/vdl-mini.png
VL-4.8,ВЛ-4.8,480,42.4,60,7320,1 шт,✅,images/vdl/vdl-mini.png
VL-4.9,ВЛ-4.9,490,42.4,61,7485,1 шт,✅,images/vdl/vdl-mini.png
VL-5,ВЛ-5,500,42.4,64,7635,1 шт,✅,images/vdl/vdl-mini.png
